label,N,P,K,temperature,humidity,ph,rainfall
rice,93.05,31.68,47.25,24.88,72.24,5.35,213.84
rice,86.84,39.87,36.03,24.76,85.89,6.03,243.82
rice,94.68,33.13,44.58,21.08,86.39,5.98,204.45
rice,83.19,49.78,40.92,22.14,80.24,6.27,220.96
rice,94.13,43.45,56.99,22.19,79.44,5.59,228.48
rice,101.29,39.09,36.12,21.35,85.25,6.37,226.29
rice,83.34,41.86,42.82,23.44,86.36,6.11,230.37
rice,90.68,42.31,46.42,20.09,80.4,5.76,190.83
rice,87.25,51.96,35.94,24.94,73.59,5.83,214.88
rice,95.86,45.69,47.55,22.3,79.69,6.43,204.26
rice,77.24,30.93,35.56,23.99,82.71,6.35,197.18
rice,91.59,45.0,39.83,23.91,78.69,5.82,198.55
rice,78.04,43.9,38.71,23.02,84.4,6.22,229.96
rice,89.02,36.61,41.44,19.63,74.76,5.34,180.08
rice,94.0,32.76,39.35,25.6,80.22,6.37,181.99
rice,87.95,32.4,39.63,24.68,73.36,6.22,217.13
rice,84.06,28.43,42.5,21.94,83.16,6.01,258.05
rice,87.61,31.81,43.25,23.44,88.8,6.42,220.71
rice,104.63,30.49,37.52,21.15,80.05,5.31,229.05
rice,87.78,28.23,34.89,23.63,86.19,7.0,297.42
rice,94.14,32.08,27.08,23.54,77.94,5.79,191.64
rice,88.59,48.53,43.1,22.68,76.82,5.16,195.41
rice,89.46,54.14,42.91,24.97,79.5,5.41,181.05
rice,82.75,57.03,36.25,24.68,77.49,6.47,221.55
rice,88.43,39.67,37.42,23.89,79.73,5.39,171.66
rice,91.73,52.63,43.12,22.76,83.43,6.65,216.58
rice,85.89,48.85,45.0,26.07,82.92,5.39,168.96
rice,106.51,53.79,40.74,22.23,89.31,5.45,183.16
rice,96.43,36.84,41.96,22.67,83.69,6.7,212.72
rice,96.44,23.6,41.66,21.31,75.91,5.56,199.98
rice,99.16,29.39,42.21,22.03,80.36,6.5,226.14
rice,103.37,38.76,37.13,22.55,83.21,6.09,177.47
rice,90.9,41.83,59.62,26.75,77.73,5.86,166.1
rice,84.09,42.52,50.44,21.54,78.73,4.93,205.12
rice,79.38,35.76,35.86,22.81,73.21,5.27,273.88
rice,77.13,31.23,54.86,28.81,76.14,5.82,220.25
rice,107.29,32.11,40.28,24.55,84.17,5.81,205.99
rice,76.25,38.09,40.14,23.46,79.22,6.24,240.38
rice,91.55,42.81,42.37,23.0,78.39,6.16,207.08
rice,110.93,52.59,44.7,21.47,76.44,6.6,217.88
rice,94.8,26.04,48.49,23.91,76.45,5.76,217.91
rice,90.52,37.66,41.28,22.5,82.76,6.74,133.0
rice,87.63,41.41,44.07,22.26,73.22,6.16,261.82
rice,74.66,46.91,39.7,22.88,76.74,5.83,249.0
